ID,PARENT_ID,EMAIL,CARD,PHONE,TMP
1,1,email1,card1,phone1,
5,1,email5,card1,phone5,
7,1,email5,card7,phone6,
20,1,email15,unique,phone6,
2,1,email1,card2,phone2,
6,1,email6,card3,phone6,
3,1,email3,card3,phone3,
4,1,email3,card4,phone4,
8,8,unique1,unique2,unique3,
17,1,email15,card17,phone16,
16,1,email16,card13,phone16,
15,1,email15,card11,phone15,
99,99,email195,card191,phone195,
11,1,email11,card11,phone11,
12,1,email11,card12,phone12,
13,1,email13,card13,phone13,
14,1,email13,card14,phone14,
